,Top_Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week,Duration,Loudness,Tempo,Tempo_Confidence,Meter,Meter_Confidence,Key,Key_Confidence,Mode,Mode_Confidence
0,22,#1,Nelly,20,2001-10-20,2002-03-02,223.08,-6.358,116.935,0.841,4.0,1.0,1.0,0.459,1.0,0.517
1,15,#Beautiful,Mariah Carey ft. Miguel,16,2013-05-25,2013-09-07,199.94667,-5.333,107.03,0.001,4.0,1.0,4.0,0.228,1.0,0.334
2,16,#SELFIE,The Chainsmokers,11,2014-03-15,2014-05-24,183.74998,-3.262,127.956,0.835,4.0,0.923,0.0,0.508,1.0,0.467
3,17,#thatPOWER,will.i.am ft. Justin Bieber,16,2013-04-06,2013-07-20,279.50668,-6.096,127.999,0.796,4.0,1.0,6.0,0.465,0.0,0.504
4,71,$ave Dat Money,Lil Dicky ft. Fetty Wap & Rich Homie Quan,19,2015-10-10,2016-03-19,290.8357,-5.361,98.013,0.399,4.0,1.0,2.0,0.643,1.0,0.347
5,4,'03 Bonnie & Clyde,Jay-Z ft. Beyonce Knowles,23,2002-10-26,2003-03-29,205.56,-5.148,89.64,0.723,4.0,1.0,9.0,0.672,0.0,0.564
6,58,'Til Summer Comes Around,Keith Urban,16,2010-01-30,2010-05-15,331.46667,-7.608,127.907,0.21,4.0,1.0,9.0,0.494,0.0,0.505
7,18,'Til You Can't,Cody Johnson,30,2021-10-23,2022-05-14,224.21333,-4.865,160.087,0.387,4.0,0.996,1.0,0.494,1.0,0.689
8,39,'Tis The Damn Season,Taylor Swift,2,2020-12-26,2021-01-02,229.84,-8.193,145.916,0.362,4.0,0.72,5.0,0.693,1.0,0.585
9,7,(Hot S**t) Country Grammar,Nelly,34,2000-04-29,2000-12-16,291.78195,-6.49,101.875,0.966,4.0,1.0,7.0,0.597,1.0,0.51
10,55,(I Hate) Everything About You,Three Days Grace,20,2003-11-29,2004-04-10,231.48,-5.157,89.342,0.221,4.0,1.0,6.0,0.491,0.0,0.738
11,98,(I Never Promised You A) Rose Garden,Martina McBride,2,2005-12-03,2005-12-10,195.4,-6.92,131.912,0.974,4.0,0.476,2.0,0.837,1.0,0.744
12,38,(I've Had) The Time Of My Life,Glee Cast,1,2010-12-18,2010-12-18,277.56,-5.993,110.706,0.853,4.0,1.0,9.0,0.408,1.0,0.457
13,81,(If You're Wondering If I Want You To) I Want You To,Weezer,9,2009-09-12,2010-01-16,208.77333,-5.722,110.021,0.641,4.0,1.0,11.0,0.511,0.0,0.553
14,35,(It) Feels So Good,Steven Tyler,4,2011-05-28,2011-06-18,211.29333,-3.386,122.0,0.881,4.0,1.0,6.0,0.612,0.0,0.458
15,34,(Kissed You) Good Night,Gloriana,20,2012-04-21,2012-09-01,232.90308,-6.125,118.97,0.764,4.0,0.923,11.0,0.745,1.0,0.738
16,89,(Reach Up For The) Sunrise,Duran Duran,5,2004-11-06,2004-12-04,205.46667,-3.985,126.996,0.926,4.0,1.0,7.0,0.617,0.0,0.528
17,30,(There's Gotta Be) More To Life,Stacie Orrico,20,2003-09-20,2004-01-31,200.38667,-3.785,89.841,0.34,4.0,1.0,1.0,0.496,1.0,0.293
18,22,(There's No Place Like) Home For The Holidays,Perry Como,12,2018-12-29,2022-01-08,178.29333,-10.629,143.823,0.188,4.0,0.636,5.0,0.42,1.0,0.384
19,3,(When You Gonna) Give It Up To Me,Sean Paul Feat. Keyshia Cole,22,2006-06-10,2006-11-04,243.88,-3.04,95.824,0.293,4.0,0.984,8.0,0.486,1.0,0.534
20,73,(You Drive Me) Crazy,Britney Spears,20,2000-01-01,2000-01-29,198.06667,-4.288,104.001,0.507,4.0,1.0,0.0,0.336,0.0,0.684
21,27,(You Want To) Make A Memory,Bon Jovi,20,2007-05-19,2007-09-29,276.45334,-7.583,148.01,0.423,4.0,0.952,0.0,0.659,1.0,0.744
22,41,***Flawless,Beyonce ft. Nicki Minaj Or Chimamanda Ngozi Adichie,20,2014-09-13,2015-02-21,234.41333,-7.273,136.801,0.571,4.0,0.671,8.0,0.288,1.0,0.403
23,4,...Ready For It?,Taylor Swift,20,2017-09-23,2018-01-27,208.18668,-6.509,160.015,0.156,4.0,0.996,2.0,0.327,1.0,0.396
24,35,0 To 100 / The Catch Up,Drake,20,2014-08-09,2014-12-20,275.22668,-3.964,176.618,0.099,4.0,0.937,11.0,0.498,0.0,0.577
25,49,1 Night,Lil Yachty,20,2016-08-13,2017-01-07,243.26984,-12.618,129.974,0.626,4.0,0.939,0.0,0.828,1.0,0.671
26,19,"1 Step Forward, 3 Steps Back",Olivia Rodrigo,4,2021-06-05,2021-06-26,163.58667,-12.627,168.884,0.065,4.0,0.736,2.0,0.771,1.0,0.75
27,8,1 Thing,Amerie,20,2005-02-12,2005-06-25,238.76,-3.078,129.873,0.194,5.0,1.0,10.0,0.485,0.0,0.547
28,57,1+1,Beyonce,2,2011-06-11,2011-06-18,273.88,-7.342,63.345,0.026,5.0,0.752,6.0,0.608,1.0,0.621
29,97,"1, 2 Many",Luke Combs & Brooks & Dunn,1,2019-09-28,2019-09-28,180.90668,-3.789,148.798,0.625,4.0,1.0,6.0,0.753,1.0,0.604
30,2,"1, 2 Step",Ciara ft. Missy Elliott,39,2004-10-30,2005-07-23,203.78667,-10.96,113.046,0.667,4.0,1.0,5.0,0.132,0.0,0.288
31,34,"1, 2, 3, 4",Plain White T's,20,2009-02-07,2009-06-20,198.36,-7.092,90.56,0.415,4.0,1.0,2.0,0.727,1.0,0.657
32,3,1-800-273-8255,Logic ft. Alessia Cara & Khalid,42,2017-05-20,2018-02-24,250.17332,-7.788,100.023,0.278,4.0,1.0,5.0,0.565,0.0,0.638
33,86,1.5,21 Savage,1,2019-01-05,2019-01-05,148.6556,-8.353,84.022,0.208,4.0,1.0,1.0,0.478,1.0,0.425
34,58,10 Bands,Drake,13,2015-02-28,2015-05-23,177.73334,-3.687,172.938,0.312,4.0,1.0,11.0,0.386,0.0,0.445
